City,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
bluff,-46.6,168.3333,57.16,67,100,0.98,NZ,1612049195
marechal deodoro,-9.7103,-35.895,77,94,40,4.61,BR,1612049196
bengkulu,-3.8004,102.2655,75.24,93,98,10.16,ID,1612049196
ushuaia,-54.8,-68.3,51.8,62,20,24.16,AR,1612049196
jamestown,42.097,-79.2353,19,73,1,2.01,US,1612049016
sao francisco,-15.9486,-44.8644,79.9,49,70,2.51,BR,1612049197
la libertad,-2.2333,-80.9,78.8,83,75,12.66,EC,1612048924
kavieng,-2.5744,150.7967,83.34,72,99,14.5,PG,1612049197
wattegama,6.7989,81.4808,74.28,85,97,4.65,LK,1612049197
vaini,-21.2,-175.2,84.2,84,75,11.5,TO,1612049198
butaritari,3.0707,172.7902,81.16,77,67,17.87,KI,1612049198
upernavik,72.7868,-56.1549,-9.51,85,37,6.69,GL,1612049198
albany,42.6001,-73.9662,18,57,14,5.01,US,1612049198
kapaa,22.0752,-159.319,75.2,73,75,17.27,US,1612049199
pevek,69.7008,170.3133,-32.84,84,2,3.74,RU,1612049199
atuona,-9.8,-139.0333,79.23,74,21,18.54,PF,1612049199
mataura,-46.1927,168.8643,66.88,46,78,2.48,NZ,1612049199
bandarbeyla,9.4942,50.8122,73.54,74,26,14.63,SO,1612049199
lamu,-2.2717,40.902,77,83,1,8.05,KE,1612049199
lahad datu,5.0268,118.327,75.09,90,100,5.55,MY,1612049199
chuy,-33.6971,-53.4616,74.03,79,52,13.53,UY,1612049199
vardo,70.3705,31.1107,24.62,95,100,19.46,NO,1612049199
saint-augustin,51.226,-58.6502,28.89,94,90,15.75,CA,1612049199
aquiraz,-3.9014,-38.3911,80.6,83,0,5.75,BR,1612049199
georgetown,5.4112,100.3354,77,83,20,7.14,MY,1612049177
korla,41.7597,86.1469,20.37,83,0,5.21,CN,1612049199
port alfred,-33.5906,26.891,64,92,20,1.86,ZA,1612049200
hilo,19.7297,-155.09,80.6,57,1,6.91,US,1612048958
neuquen,-38.9516,-68.0591,66.2,59,75,13.8,AR,1612048965
nisia floresta,-6.0911,-35.2086,80.6,78,20,10.36,BR,1612049200
punta arenas,-53.15,-70.9167,53.6,62,0,23.02,CL,1612049200
haines junction,60.7522,-137.5108,-0.4,65,100,2.3,CA,1612049200
rikitea,-23.1203,-134.9692,79.12,74,22,12.33,PF,1612049200
bredasdorp,-34.5322,20.0403,66.99,86,6,6.35,ZA,1612049188
puerto ayora,-0.7393,-90.3518,84.2,70,0,12.66,EC,1612049200
talnakh,69.4865,88.3972,-31.13,70,0,6.46,RU,1612049200
busselton,-33.65,115.3333,68,73,0,1.01,AU,1612049200
balykshi,47.0667,51.8667,30.2,100,90,11.18,KZ,1612049200
clarence town,-32.5833,151.7833,75.99,88,90,6.91,AU,1612049200
carhuaz,-9.2819,-77.6447,59.45,61,83,4.54,PE,1612049201
port elizabeth,-33.918,25.5701,64.4,94,0,4.61,ZA,1612049201
norman wells,65.282,-126.8329,-27.4,75,20,3.44,CA,1612049201
alofi,-19.0595,-169.9187,82.4,78,100,12.66,NU,1612049170
yulara,-25.2406,130.9889,84.2,28,45,17.27,AU,1612049201
new norfolk,-42.7826,147.0587,66.99,56,15,3,AU,1612049172
mahebourg,-20.4081,57.7,78.8,89,40,3.44,MU,1612049182
